"|","time","accelerations__z","accelerations__y","accelerations__x","rotation__gamma","rotation__alpha","rotation__beta","uuid","location__longitude","location__latitude"
"-JlgGnj7G6xE30DSdqnw","1427745749014","6.209362030029297","2.6629507541656494","4.462193489074707","0.3893541693687439","-1.5390408039093018","-2.7340011596679688","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgO2Vjrdb3hbBx86dF","1427747648366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgTCLo47Mm5ioAKZ0m","1427749000132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgLUljvtvNK4D3RfEw","1427746977525","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgMCJc1GXjB-GD1nuj","1427747164077","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgMSQufEWrQN08uY2R","1427747230079","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgXBQs9qfFk_glKDxP","1427750044062","16.744447708129883","0.1322796493768692","-2.0614075660705566","-1.1334413290023804","-0.1786981076002121","-1.515338659286499","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlgUo1-d2CopWEK9HJw","1427749419798","4.79738187789917","4.451419353485107","0.5351040959358215","0.7792409658432007","0.9313074350357056","0.0324905663728714","1a122210-4044-429a-be47-cf137b1e502b","",""
"-Jlfyf_WZOS1p7Sbfhpt","1427740735973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgMPFk9JCdTBtB5S-q","1427747217077","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgVsstZMjF_zFqeHnZ","1427749701840","14.657302856445312","5.4881086349487305","-2.9508535861968994","0.05672533065080643","0.03435477986931801","0.5534048676490784","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlfybfWZg2r2KkUtudI","1427740719973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlfwzfGccfdPr-SKRoZ","1427740293973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533155","47.4727135"
"-JlgHHjWAqR5rfOr4-0e","1427745876015","6.952761650085449","6.04655647277832","-0.9415197968482971","0.10519486665725708","0.1547296643257141","-0.16271914541721344","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlfwqOXCUdsowEKoR70","1427740255974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0534413","47.4726424"
"-JlfyGhHTPxPSEktwbr2","1427740629974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgTr_uVWKSqN7midfM","1427749173131","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-Jlfyo7Pm7auLpYndWrb","1427740770974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgNjEqETthC1uFRlWh","1427747565365","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgUpFdsbabkhH61fT9","1427749424835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgW0gP3a9I7w_JSuTx","1427749737907","11.734580993652344","4.399345397949219","-0.45848962664604187","0.6330333948135376","-0.1786981076002121","0.04500742256641388","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgGw1OrEahOaPLfXIJ","1427745783015","6.209362030029297","2.6629507541656494","4.462193489074707","0.3893541693687439","-1.5390408039093018","-2.7340011596679688","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-Jlfxbi36GALYnr9dR4R","1427740457991","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlfzIrctFLO5BXN0Mzg","1427740900972","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlfxliNIT4tQhy3AB0t","1427740498972","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlfyJ8Xv_B02OnqG0MJ","1427740639974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgUv6cZLRedLvBlXSv","1427749448835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgHpdICLUxBCrbOWXe","1427746018973","10.097545623779297","5.049371242523193","0.5422866940498352","0.35233622789382935","0.2010686695575714","0.2292981743812561","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgT1MglG165ORH9kG_","1427748955132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlfxYZ9VShzOSxaOqs0","1427740440974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533722","47.4727068"
"-JlgSwGAwsmM6MYzoIgz","1427748930132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgI7_tw-r5WPBDxZsM","1427746096575","9.584588050842285","4.918887615203857","-0.669179379940033","-0.033555831760168076","-0.032224249094724655","-0.05246427282691002","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlfxaUqfUtX5GBkWA1A","1427740452986","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgNagzWCdD79sSqYIR","1427747530366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlfxpcP2DTrFlYADDSF","1427740514974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgGb1ePFuweefGT2t2","1427745697016","2.6210522651672363","5.908291339874268","11.033679008483887","0.900414764881134","0.9707222580909729","-0.47990164160728455","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgKbxsSTp6cgImDaEj","1427746748925","8.725667953491211","7.64109468460083","10.498574256896973","-1.1648666858673096","-0.8556736707687378","-1.6703346967697144","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-Jlfzop1F2OBXPaIsV6T","1427741035973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-Jlfx0rvY10sgmamztxK","1427740302974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533155","47.4727135"
"-JlgHN-LLAxx120lmZ4v","1427745897573","6.0872578620910645","6.162076473236084","3.2411506175994873","0.1203748807311058","0.6032059788703918","0.30466562509536743","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgVSmpivTs00s9s6dD","1427749590857","12.472593307495117","3.487753391265869","-0.5249287486076355","1.038100242614746","0.20852552354335785","0.32224249839782715","1a122210-4044-429a-be47-cf137b1e502b","",""
"-Jlfyj-H55xs4Yuy2zeR","1427740749974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgOK4jR1iEP8DN7BNI","1427747720366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgLqy6zt8OXAT8ZZHd","1427747072525","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlfzMX0s9C5Cmph6Bbl","1427740915973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgWdT5VdOMfmXp6Mof","1427749900840","3.3315317630767822","4.219182014465332","0.9163807034492493","-0.16538231074810028","0.28682246804237366","-0.047936901450157166","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-Jlfy4FPmtUh63StlGYw","1427740578974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgI50waK8Y0sxSGB55","1427746086087","7.486668586730957","5.771223068237305","1.5610195398330688","0.11930961906909943","0.13022857904434204","-0.3067961633205414","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgGk3mZQBz1u7Iq-Uc","1427745734016","2.6210522651672363","5.908291339874268","11.033679008483887","0.900414764881134","0.9707222580909729","-0.47990164160728455","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgKe9VPebQdG7g1t-I","1427746757925","8.725667953491211","7.64109468460083","10.498574256896973","-1.1648666858673096","-0.8556736707687378","-1.6703346967697144","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgWpR-yifWkYuHc7K9","1427749949862","12.524068832397461","4.683058738708496","1.2910733222961426","0.6378270983695984","0.3411509394645691","-0.25912559032440186","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlgUqy0-w-XnR9Le3wG","1427749431835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgWRlxOWRtThep613p","1427749848869","5.505466938018799","5.837662220001221","0.8732850551605225","-0.4807005822658539","-0.14514228701591492","-0.22583606839179993","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlgHBsXLgiasNi9ZoFO","1427745852016","6.209362030029297","2.6629507541656494","4.462193489074707","0.3893541693687439","-1.5390408039093018","-2.7340011596679688","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgGhcZw0RA3nW-8ItV","1427745724016","2.6210522651672363","5.908291339874268","11.033679008483887","0.900414764881134","0.9707222580909729","-0.47990164160728455","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgV8l74uugHcgp6jjs","1427749508835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgTFHIGi8_yTWRIAvM","1427749012132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
